area_id,area_name,latitude,longitude,parameter_id,parameter_description,datetime,value_type,value_text
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406280600,,27.78
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406280600,,7.71666666
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406281200,,10
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406281200,,11.5077945
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406281200,,18.52
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406281200,,5.14444444
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406281800,,5
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406281800,,5.75389725
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406281800,,9.26
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406281800,,2.57222222
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406290000,,10
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406290000,,11.5077945
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406290000,,18.52
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406290000,,5.14444444
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406290600,,15
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406290600,,17.26169175
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406290600,,27.78
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406290600,,7.71666666
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406291200,,10
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406291200,,11.5077945
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406291200,,18.52
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406291200,,5.14444444
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406291800,,5
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406291800,,5.75389725
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406291800,,9.26
501272,Bangkalan,-7.033333333,112.7667,ws,Wind speed,202406291800,,2.57222222
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406270000,,90
501273,Banyuwangi,-8.216666667,114.35,hu,Humidity,202406270600,,70
